,player_name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,is_new_player,total_points_sum,total_points_mean,non_zero_gw_count,total_points_non_zero_sum,total_points_non_zero_mean,price,position,DC_points,first_10_mean,first_5_mean
560,Amad Diallo,Man Utd,0.0,3.0,8.666666666666666,13.0,0.0,6.0,8.666666666666666,9.0,2.0,0.0,0.0,11.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,4.666666666666667,4.666666666666667,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,13.0,0.0,8.666666666666666,1.0,0.0,1.0,4.666666666666667,5.0,6.0,False,129.0,3.3947368421052633,27,129.0,4.777777777777778,6.5,Midfielder,,5.033333333333333,4.933333333333333
221,James Maddison,Spurs,2.6666666666666665,16.0,0.0,0.0,10.0,1.0,8.0,6.0,2.0,4.0,10.0,1.0,2.0,1.0,12.0,0.0,6.0,2.0,0.0,2.6666666666666665,2.0,4.0,8.0,1.0,3.0,1.0,2.0,1.0,0.0,4.0,0.0,8.0,0.0,2.0,0.0,2.6666666666666665,2.0,6.0,False,133.0,3.5,30,133.0,4.433333333333334,7.0,Midfielder,,4.966666666666667,5.733333333333333
596,Leandro Trossard,Arsenal,1.0,6.333333333333333,7.0,3.0,2.0,2.0,2.0,1.0,16.0,8.5,8.5,9.0,1.0,2.0,7.0,1.0,9.0,1.0,10.0,3.0,2.0,3.0,1.0,8.5,6.333333333333333,1.0,3.0,3.0,2.0,1.0,3.0,2.0,-2.0,3.0,1.0,12.0,6.333333333333333,3.0,False,159.50000000000003,4.197368421052633,38,159.50000000000003,4.197368421052633,7.0,Midfielder,,4.883333333333333,3.8666666666666663
653,Dwight McNeil,Everton,3.3333333333333335,2.0,4.045454545454546,4.045454545454546,4.045454545454546,4.045454545454546,15.0,4.045454545454546,4.045454545454546,3.3333333333333335,2.0,2.0,2.0,4.045454545454546,4.045454545454546,1.0,1.0,3.3333333333333335,4.0,3.0,9.0,12.0,4.0,4.045454545454546,4.0,6.0,4.045454545454546,1.0,4.0,4.045454545454546,4.045454545454546,4.045454545454546,4.045454545454546,4.045454545454546,1.0,4.045454545454546,4.0,2.0,False,89.0,2.3421052631578947,22,89.0,4.045454545454546,6.0,Midfielder,,4.793939393939395,3.4939393939393946
236,Dominic Solanke-Mitchell,Spurs,1.3333333333333333,5.0,2.0,3.8571428571428568,5.0,2.0,2.3333333333333335,16.0,3.8571428571428568,6.0,3.8571428571428568,3.8571428571428568,3.8571428571428568,3.8571428571428568,6.0,2.0,9.0,2.0,3.8571428571428568,1.3333333333333333,2.0,2.0,2.3333333333333335,3.8571428571428568,6.0,9.0,2.0,2.0,3.8571428571428568,6.0,1.0,2.3333333333333335,7.0,2.0,1.0,1.3333333333333333,2.0,3.8571428571428568,False,108.0,2.8421052631578947,28,107.99999999999999,3.8571428571428568,7.5,Forward,,4.738095238095237,3.438095238095238
339,Jarrod Bowen,West Ham,7.666666666666667,2.0,2.0,9.0,0.0,5.0,10.0,2.0,7.666666666666667,2.0,9.0,2.0,1.0,8.0,10.0,2.0,0.0,0.0,6.0,2.0,8.0,2.0,9.0,10.0,7.666666666666667,7.0,7.0,2.0,5.0,5.0,0.0,12.0,8.0,3.0,2.0,2.0,7.0,9.0,False,193.0,5.078947368421052,34,193.0,5.676470588235294,8.0,Forward,,4.733333333333333,4.133333333333334
442,Dean Henderson,Crystal Palace,4.0,3.0,7.0,4.333333333333333,6.0,3.0,1.0,9.0,9.0,1.0,3.0,2.0,9.0,5.333333333333333,6.0,1.0,5.333333333333333,8.0,2.0,1.0,2.0,5.333333333333333,2.0,3.0,2.0,4.333333333333333,1.0,6.0,6.0,4.333333333333333,1.0,2.0,1.0,2.0,7.0,2.0,2.0,0.0,False,143.0,3.763157894736842,37,143.0,3.864864864864865,5.0,Goalkeeper,,4.7333333333333325,4.866666666666666
220,Brennan Johnson,Spurs,6.666666666666667,6.0,1.0,0.0,7.0,9.0,5.333333333333333,8.0,0.0,4.0,1.0,1.0,10.0,4.0,7.0,2.0,4.0,1.0,0.0,6.666666666666667,2.0,2.0,5.333333333333333,2.0,11.0,2.0,2.0,1.0,0.0,2.0,1.0,5.333333333333333,2.0,5.0,1.0,6.666666666666667,0.0,3.0,False,137.0,3.6052631578947367,33,137.0,4.151515151515151,7.0,Midfielder,,4.7,4.133333333333334
380,Rayan Aït-Nouri,Man City,,14.0,6.0,6.0,1.0,5.0,9.0,2.0,0.0,0.0,9.0,1.0,5.0,2.0,5.0,0.0,8.0,1.0,1.3333333333333333,2.0,1.0,5.0,,10.0,1.0,1.0,0.0,1.3333333333333333,1.0,4.0,1.0,1.0,2.0,1.3333333333333333,0.0,2.0,6.0,7.0,False,121.99999999999999,3.3888888888888884,31,122.0,3.935483870967742,6.0,Defender,10.0,4.563157894736842,5.663157894736843
154,Mitoma Kaoru,Brighton,2.0,8.0,2.0,9.0,5.0,2.0,1.0,0.0,12.0,4.333333333333333,2.0,3.0,1.0,2.0,6.0,2.0,4.333333333333333,2.0,2.0,4.333333333333333,1.0,2.0,2.0,2.0,2.0,1.0,6.0,5.0,1.0,6.666666666666667,6.0,6.666666666666667,4.0,10.0,1.0,2.0,6.666666666666667,6.0,False,145.0,3.8157894736842106,37,145.0,3.918918918918919,6.5,Midfielder,,4.533333333333333,5.2
